,shortcode,caption,likes,comments,timestamp,owner_username,owner_id,video_view_count,is_video,location,caption_hashtags,caption_mentions
33,CcliRlZulhh,"Fala, Devs! Beleza? 👋

Iremos realizar nosso primeiro DevTalks 📢 presencial do ano e o tema será Blockchain!

Teremos a presença ilustre de vários profissionais renomados da área, como os responsáveis por essa tecnologia dentro do @itau, na @b3_oficial, na @adaptivecode.io e na @cloudwalkio (confira mais detalhes nas fotos 👉).  

🗓️ 29 de abril (sexta-feira) às 15h
📍 Sala G1 da FEA/USP
📝 Acesse o link na bio para se inscrever, pois as vagas são limitadas!
💉Para quem não é da USP, será necessário comprovante de vacinação completa para participar do evento.

🌐 Você sabe o que é Blockchain? 
Como o próprio nome diz, é uma rede formada por blocos que é parecida com um livro-razão compartilhado e imutável. Essa tecnologia pode servir para o registro de  criptomoedas e patentes, por exemplo. Além disso, está relacionado com diversos outros conceitos como DeFi, Tokenomics, NFT e hashes.

💡 Se interessou pelo assunto e quer aprender mais?
Não perca nosso evento e fique ligado em tudo que nossos convidados têm para ensinar!
.
.
.
.
.
.
.
#blockchain #criptomoedas #nft #tecnologia #feadev #usp",70,6,2022-04-20 20:35:54,fea.dev,32518466002,,False,,"['blockchain', 'criptomoedas', 'nft', 'tecnologia', 'feadev', 'usp']","['itau', 'b3_oficial', 'adaptivecode.io', 'cloudwalkio']"
34,CcYrRP0OKCw,"Fala, dev! Beleza? 👋

Entrou agora na USP pelas listas de espera e quer aprender a programar? 

Ainda dá tempo de participar do processo seletivo do @fea.dev, mas corre que o tempo está acabando! 🏃‍♂️

As inscrições vão até dia 22/04 e o link do formulário está na bio!

Arrasta para o lado que tem todas as informações bem explicadinhas 👉",62,3,2022-04-15 20:44:22,fea.dev,32518466002,,False,,[],['fea.dev']
35,Cb-3ENeuJ7P,"Fala, dev! Beleza? 👋

Se você perdeu nossa palestra online, não se preocupe, pois teremos outra palestra institucional e, agora, em formato presencial! 🤩

Então já anota aí na agenda para não esquecer:

📅 Sexta-feira, dia 08/04
🕐 17h
📍 Sala A-03 (FEA 1)

Lembrando que, para aqueles que ainda não se inscreveram no nosso PS, o link está na nossa bio.

Venha conhecer mais sobre o Dev e nosso mundo da programação. Nos vemos lá! 🚀",24,1,2022-04-05 20:07:12,fea.dev,32518466002,,False,,[],[]
36,CbvguPKO17I,"Fala, devs! Beleza? 👋

É com enorme prazer que anunciamos que nossa palestra institucional ocorrerá nesse próximo sábado 02/04 às 14h, via Google Meet. O link será liberado em nossos stories nos próximos dias, então fiquem atentos!

Porém, muitos de vocês podem estar se perguntando: O que ocorrerá nessa palestra institucional? 🤔

Basicamente, essa é uma oportunidade para vocês conhecerem mais sobre o FEA.dev, tanto como funciona a entidade, quanto mais informações sobre nosso processo seletivo. 📝

Lembrando que para aqueles que ainda não se inscreveram no nosso PS, o link está na nossa bio.

Venha conhecer mais sobre o Dev e nosso mundo da programação. Nos vemos sábado! 🚀",59,2,2022-03-30 21:03:21,fea.dev,32518466002,,False,,[],[]
37,Cba3TFmuTff,"Fala, devs! Beleza? 👋

Hoje trouxemos uma explicaçãozinha  de como serão as etapas do nosso processo seletivo e aproveitamos também para esclarecer algumas dúvidas frequentes. 📝
 
Não se esqueçam que o formulário de inscrição está na bio e se tiverem mais alguma dúvida só nos chamar na dm 😉
.
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #python",75,1,2022-03-22 20:36:34,fea.dev,32518466002,,False,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'python']",[]
38,CbOEVnrDeoA,"Fala, devs! Beleza? 👋

Como vocês já sabem, o nosso processo seletivo está aberto e por isso trouxemos nesse vídeo 5️⃣ motivos para convencer vocês a entrarem na @fea.dev! 
 
Cliquem na tela para abrir o vídeo e lembrem-se que o formulário de inscrição está na bio, qualquer dúvida só nos chamar na dm 😉
.
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #python",77,8,2022-03-17 21:20:57,fea.dev,32518466002,755.0,True,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'python']",['fea.dev']
39,CbJDv6GO_Xl,"Fala, devs! Beleza? 👋

Acabou de sair o episódio que gravamos para o TerraçoCast, o podcast do @terracoeconomico 🎤
 
A nossa presidente @atuarialice e o @felipebailez, um dos fundadores do @fea.dev, contaram um pouco da história e funcionamento da entidade. O episódio contou também com a presença de dois de nossos membros da área de cursos: Thais e @kam.marcelino

Vocês podem ouvir o podcast no Spotify ☺️
.
.
.
.
.
.
.
.
.
#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #livros #python",35,2,2022-03-15 22:39:02,fea.dev,32518466002,,False,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'livros', 'python']","['terracoeconomico', 'atuarialice', 'felipebailez', 'fea.dev', 'kam.marcelino']"
40,Ca-iuV8Ojho,"[ARTIGO ""VaR: da estatística ao mercado financeiro"" - Link na bio! 📰]

Fala, devs! Beleza? Vocês já ouviram falar sobre Value at Risk (VaR), uma das metodologias mais utilizadas pelo mercado para a análise de risco?

Esse conceito, desenvolvido pelo banco JP Morgan, auxilia os investidores a estimarem o potencial de perda de um ativo ou carteira e sua probabilidade de ocorrência!

Querem entender mais sobre o Value at Risk e como ele funciona na prática através de aplicações em Python? Então, acessem o texto na íntegra através do link na nossa bio! Boa leitura! ☺️",46,2,2022-03-11 20:38:03,fea.dev,32518466002,,False,,[],[]
41,Ca79wP7uv2j,"VOCÊ TEM INTERESSE EM CONECTAR O MUNDO DOS NEGÓCIOS COM O DA PROGRAMAÇÃO?

As inscrições para o Processo Seletivo do FEADev estão abertas! Uma entidade de programação atrelada ao mundo dos negócios. 🤝

🤔 Onde se inscrever?
Pelo link  http://bit.ly/PS-FEADEV ou acessando a  nossa bio!

Sobrou alguma dúvida? Sinta-se livre para mandar mensagem em nossas redes sociais, estamos sempre abertos para conversar com vocês!",77,10,2022-03-10 20:36:31,fea.dev,32518466002,,False,,[],[]
42,Ca3AvdJuNY9,"Neste 8 de março, trouxemos um pouco da história de 3 mulheres programadoras 👩‍💻 que fizeram história na tecnologia para lembrar vocês, mulheres que nos acompanham, que vocês também podem se destacar nessa área que ainda é tão preenchida por homens!

Se vocês têm interesse em entrar nesse universo da programação, fiquem atentas ⚠️ que, em breve, iremos abrir nosso processo seletivo. 

Vem programar com a gente! 
Feliz dia Internacional da Mulher 🌹
.
.
.
.
.
.
.
.
#usp  #feadev #python #dev #code #internationalwomensday #womansday #tecnologia #programador",34,0,2022-03-08 22:26:26,fea.dev,32518466002,,False,,"['usp', 'feadev', 'python', 'dev', 'code', 'internationalwomensday', 'womansday', 'tecnologia', 'programador']",[]
