,Tweet Id,Text,viewCount,Media,Outlinks,Tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,mentionedUsers,Date,time,categorias
23,1550498904210378753,"Gosta de jogar aquele CS:GO com os amigos?

Então, se liga no artigo que o @EDG_SR fez analisando estatísticas de jogadores da @GamersClubCS com Python!

O texto está disponível em nosso Medium: https://t.co/zPkmJmHHwn https://t.co/YOUVKmG5WS",,"[Photo(previewUrl='https://pbs.twimg.com/media/FYOfSxbXgAAdXdM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYOfSxbXgAAdXdM?format=jpg&name=large', altText=None)]",['http://bit.ly/3ctx16G'],['https://t.co/zPkmJmHHwn'],3,6,17,1,"[User(username='EDG_SR', id=1010744431736127488, displayname='FURIA edg', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GamersClubCS', id=2511588559, displayname='Gamers Club CS:GO #GCAmericasRMR', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",22/07/2022,12:12:00,Informação
24,1545069880973705216,"Continuando a série #ProgramaFEA, o Eduardo nos mostrou como é fácil monitorar os preços de e-commerces utilizando Python e Selenium!

Confira como fazer isso lá no nosso insta: https://t.co/qwPnusW86f https://t.co/3FmE55g09a",,"[Photo(previewUrl='https://pbs.twimg.com/media/FXB-VYZXoAIcUMd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXB-VYZXoAIcUMd?format=jpg&name=large', altText=None)]",['http://bit.ly/programafea2'],['https://t.co/qwPnusW86f'],1,4,8,0,,07/07/2022,12:39:00,Instrução
25,1542004318278238213,"@jaunzaunp Esse cara era bom, dizem q ele fazia parte do FEA Dev https://t.co/DY1acGCqhi",,"[Photo(previewUrl='https://pbs.twimg.com/media/FWZMwXlX0AA3NGn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWZMwXlX0AA3NGn?format=jpg&name=large', altText=None)]",[],[],0,0,0,0,"[User(username='jaunzaunp', id=3152893403, displayname='menos fevereiro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",29/06/2022,01:37:33,Interação
26,1541927223795585029,@alexschultz atualemente é Diretor de Marketing da Meta! https://t.co/I3BMX3lsc6,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYF8GiXEAMUs_w?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYF8GiXEAMUs_w?format=jpg&name=large', altText=None)]",[],[],1,0,2,0,"[User(username='alexschultz', id=17341765, displayname='alex schultz 🏳️\u200d🌈', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",28/06/2022,20:31:12,Interação
27,1541927220045914114,"Pedro Pina é responsável pelas operações do YouTube na região EMEA, que compreende Europa, Oriente Médio e África https://t.co/g7z0XmsF5v",,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYFLZ1XgAAolVJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYFLZ1XgAAolVJ?format=jpg&name=large', altText=None)]",[],[],1,0,2,0,,28/06/2022,20:31:11,Interação
28,1541927216262553601,O @tim_cook é CEO da empresa da maçã 🍎 https://t.co/TVVBfnsdbx,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYE2zWWYAEQnKq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYE2zWWYAEQnKq?format=jpg&name=large', altText=None)]",[],[],1,0,2,0,"[User(username='tim_cook', id=1636590253, displayname='Tim Cook', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",28/06/2022,20:31:10,Interação
29,1541927211795611651,"Hoje, dia 28 de junho, é o Dia Internacional do Orgulho LGBTQIAP+ 🏳️‍🌈🏳️‍🌈🏳️‍🌈

Por isso, trouxemos alguns nomes de gigantes da tecnologia que fazem parte dessa comunidade linda e que está cada dia mais forte e empoderada 💪

Acompanhe o fio👇 https://t.co/rtu4le6nZm",,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYEDenX0AIiBg5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYEDenX0AIiBg5?format=jpg&name=large', altText=None)]",[],[],3,2,10,0,,28/06/2022,20:31:09,Informação
30,1539627268267335680,"Ontem, lançamos o #ProgramaFEA, onde iremos mostrar projetos de nosso membros que estão ligados ao mundo feano 🦘

Nessa primeira parte, o Thomas fez uma API que facilita o acesso ao banco de dados da @comdinheiro  

Dá uma conferida lá no nosso insta: https://t.co/A1bZZpyxh4 https://t.co/a1cwceky4q",,"[Photo(previewUrl='https://pbs.twimg.com/media/FV0M025WQAAncZN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FV0M025WQAAncZN?format=jpg&name=large', altText=None)]",['http://bit.ly/programafea'],['https://t.co/A1bZZpyxh4'],3,7,19,0,"[User(username='comdinheiro', id=84877345, displayname='Comdinheiro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",22/06/2022,12:12:00,Divulgação
31,1536077170942136323,"Apesar de muitos acharem que não, Dev também namora! 🥰❤️

Pra qual @ vcs mandariam essa cantada? 💛🖤 https://t.co/CrAUxm5jrb",,"[Photo(previewUrl='https://pbs.twimg.com/media/FVE-CykWYAIpy7U?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FVE-CykWYAIpy7U?format=jpg&name=large', altText=None)]",[],[],1,1,18,0,,12/06/2022,17:05:11,Diversos
32,1534328665089130496,@juliomanuelll 💛🖤 https://t.co/ld4aUuT0ot,,"[Photo(previewUrl='https://pbs.twimg.com/media/FUsHyjIXwAEQNJX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FUsHyjIXwAEQNJX?format=jpg&name=large', altText=None)]",[],[],1,0,6,0,,08/06/2022,+21:17:14,Interação
33,1532845837679738881,@juliomanuelll Pocas 👊💥,,,[],[],1,0,1,0,,03/06/2022,19:05:01,Interação
34,1532744591392362497,"Fala, devs, beleza? 👋

Na próxima terça (07/06) às 18:00, vai rolar o segundo #DevTalks presencial!

Dessa vez, o papo será com a equipe de finanças quantitativas do @MorganStanley 👇 https://t.co/bhteU2M9yu",,"[Photo(previewUrl='https://pbs.twimg.com/media/FUVnFRlXwAAiTqe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FUVnFRlXwAAiTqe?format=jpg&name=large', altText=None)]",[],[],2,3,11,2,"[User(username='MorganStanley', id=426159377, displayname='Morgan Stanley', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",03/06/2022,12:22:42,Divulgação
35,1528770039645708299,"@rphlbruce @DataInsper Muito obrigado por nos marcar, vamos repassar essa vaga entre nosso membros!",,,[],[],0,0,0,0,"[User(username='rphlbruce', id=2244769946, displayname='Raphael Bruce', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DataInsper', id=1279882330275024901, displayname='Insper Data', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",23/05/2022,13:09:15,Interação
36,1528769869575032834,"Olha que interessante esse site com todas funções do Matplotlib

Agora o adm vai passar menos sufoco tentando lembrar tudo isso 😬",,,[],[],1,0,11,0,,23/05/2022,13:08:34,Instrução
37,1528042421468246016,@allstarazul29 Às vezes o VBA pode ser duro...,,,[],[],0,0,0,0,"[User(username='allstarazul29', id=2235384218, displayname='lais iludida pelo corinthians do lazaro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",21/05/2022,12:57:57,Interação
38,1528040898054987776,"Eai, em quais tarefas do seu dia a dia o VBA poderia ajudar?

Conta pra gente 👇✅",,,[],[],0,0,1,0,,21/05/2022,12:51:54,Interação
39,1528040896536748035,"Alguns exemplos de aplicações com VBA são:

👉 Criação e execução macros
👉 Desenvolvimento de formulários interativos
👉 Automatização de apresentações do Power Point a partir de planilhas do Excel
👉 Envio de e-mails automáticos através do Outlook",,,[],[],1,0,1,0,,21/05/2022,12:51:54,Informação
40,1528040893034405888,"Fala, devs, beleza? 👋

Você já deve ter ouvido que precisa aprender VBA para saber usar de verdade o Excel
Mas, afinal, o que é VBA? 🤔

É a sigla para Visual Basic for Applications, linguagem de programação usada nos softwares de escritório da Microsoft

Continua 👇 https://t.co/iu64wSSG4N",,"[Photo(previewUrl='https://pbs.twimg.com/media/FTSwkpbWIAEkj0H?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FTSwkpbWIAEkj0H?format=jpg&name=large', altText=None)]",[],[],3,1,13,0,,21/05/2022,12:51:53,Informação
41,1524773895827558401,"Sabia que você pode ter o preço de ações 📊 no seu código em python apenas utilizando a biblioteca yfinance? 
Basta importar ela e usar a função https://t.co/UA3VKnK5RF() para baixar uma lista ação selecionada!

Os usos são infinitos, comente como você usaria o yfinance 👇 https://t.co/3zxNTOy4N0",,"[Photo(previewUrl='https://pbs.twimg.com/media/FShTthXXEAAtjej?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FShTthXXEAAtjej?format=jpg&name=large', altText=None)]",['http://yf.download'],['https://t.co/UA3VKnK5RF'],1,2,13,0,,12/05/2022,12:30:00,Informação
42,1521503313216380930,@felipebailez @epepusp É que geral já tá empregado 😎👍,,,[],[],0,0,3,0,"[User(username='felipebailez', id=1529328144, displayname='felipe bailez', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='epepusp', id=1219785585797337093, displayname='Estudos de Política em Pauta USP', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",03/05/2022,11:53:52,Interação
43,1520166615135965185,@felipebailez @josetxo_br Esse tal de FEA_Dev é muito forte 🔥🚀,,,[],[],0,0,2,0,"[User(username='felipebailez', id=1529328144, displayname='felipe bailez', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",29/04/2022,19:22:19,Interação
44,1520067890128777221,"O #DevTalks 🗣️ de Blockchain PRESENCIAL vai acontecer hoje!!

🕝 15 horas
📌 Sala G1 da FEA

Ainda dá tempo de se inscrever: https://t.co/cNrGF2nTrd",,,['https://docs.google.com/forms/d/e/1FAIpQLScXTaNYFW1F2-qymdDpuMmGWktKO2o-Dyj8q11G_D4CKAXYTg/viewform'],['https://t.co/cNrGF2nTrd'],0,1,1,0,,29/04/2022,12:50:01,Divulgação
45,1519890187983147009,@zouzj_h No dev só fica desempregado quem quer!!,,,[],[],0,0,1,0,"[User(username='zouzj_h', id=841396710626742274, displayname='jjupinha', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",29/04/2022,01:03:53,Interação
46,1517577971946639361,Para mais informações sobre o que a gente faz: https://t.co/unt6rig8o7,,,['https://linktr.ee/fea.dev'],['https://t.co/unt6rig8o7'],0,0,0,0,,22/04/2022,15:55:58,Divulgação
47,1517577969790771201,"Fala, Devs, beleza? 👋

Lembrando aqui que hoje é o último dia para se inscrever no nosso PS!

Então, não perde tempo e preenche esse forms logo: https://t.co/0e6wTKOMhl https://t.co/TQFofjDzBZ",,"[Photo(previewUrl='https://pbs.twimg.com/media/FQ-FHvVXEAUhRgq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FQ-FHvVXEAUhRgq?format=jpg&name=large', altText=None)]",['http://bit.ly/PS-FEADEV'],['https://t.co/0e6wTKOMhl'],1,1,2,0,,22/04/2022,15:55:57,Divulgação
48,1516926304859402240,"Por último, mas não menos importante, teremos Carlos Durigan remotamente, que é membro da @OXBCfoundation, comunidade de Blockchain da Universidade de Oxford 🇬🇧 https://t.co/i3VJnSOlM1",,"[Photo(previewUrl='https://pbs.twimg.com/media/FQ00btpXIAI2dNA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FQ00btpXIAI2dNA?format=jpg&name=large', altText=None)]",[],[],1,0,0,0,"[User(username='OXBCfoundation', id=1052180700009508864, displayname='OXBC - Oxford Blockchain Foundation', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",20/04/2022,20:46:28,Divulgação
49,1516926297397735425,"👉 Natalie Bravo trabalha com blockchain na Adaptative Code

👉 Ana Cajazeira é especialista em regulação de criptoativos na CloudWalk https://t.co/aJjeqVTs6b",,"[Photo(previewUrl='https://pbs.twimg.com/media/FQ00bNTWUAMedh9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FQ00bNTWUAMedh9?format=jpg&name=large', altText=None)]",[],[],1,0,0,0,,20/04/2022,20:46:27,Divulgação
